variable,mean,min,max,nan_%
DNCW_0C,11.934037,0.0,43.666668,65.8
LNCW_0C,4.335026,0.0,11.333333,65.8
TNCW_0C,-32.28784,-69.65906,-0.29187012,73.7
DNCW_10C,13.53645,0.0,43.666668,65.8
DNCW_5C,12.711295,0.0,43.666668,65.8
CSD_20C,6.646439,0.0,41.666668,65.8
CSD_15C,6.218066,0.0,31.333334,65.8
WSD_15C,7.6573653,0.0,89.5,65.8
WSD_20C,7.0416627,0.0,89.5,65.8
CN10_wy,32.892105,9.333333,77.166664,65.8
CN5_wy,15.804776,3.1666667,46.5,65.8
CN2_5_wy,7.5789504,0.5,31.166666,65.8
CN1_wy,2.8630466,0.0,18.833334,65.8
CD10_wy,33.91007,13.666667,68.833336,65.8
CD5_wy,16.771309,3.5,48.166668,65.8
CD2_5_wy,8.150192,0.6666667,36.333332,65.8
CD1_wy,3.148282,0.0,25.666666,65.8
WN90_wy,44.770878,23.333334,125.166664,65.8
WN95_wy,24.669752,8.833333,94.166664,65.8
WN97_5_wy,13.6841955,1.5,72.833336,65.8
WN99_wy,6.436819,0.0,52.0,65.8
WD90_wy,43.264957,21.333334,134.16667,65.8
WD95_wy,23.333082,3.3333333,105.333336,65.8
WD97_5_wy,12.801895,0.16666667,78.5,65.8
WD99_wy,6.010709,0.0,59.666668,65.8
TDHW_99_wy,16.848953,-27.313513,50.0959,67.3
LDHW_99_wy,2.1803083,0.0,20.166666,65.8
LDHW_95_wy,7.6688113,0.6666667,36.666668,65.8
DDHW_99_wy,3.4736214,0.0,53.166668,65.8
DDHW_95_wy,17.09437,1.1666666,83.333336,65.8
TDHW_97_5_wy,15.73832,-29.459377,49.269215,65.8
LDHW_97_5_wy,4.4206467,0.0,30.333334,65.8
TDHW_95_wy,14.563235,-30.497444,48.629845,65.8
NDHW_99_wy,0.69736886,0.0,5.6666665,65.8
DDHW_97_5_wy,8.357533,0.0,64.666664,65.8
NDHW_97_5_wy,1.5922574,0.0,6.3333335,65.8
NDHW_95_wy,2.9093347,0.33333334,9.333333,65.8
DNHW_95_wy,17.454967,1.6666666,77.5,65.8
LNHW_99_wy,2.066013,0.0,12.833333,65.8
NNHW_99_wy,0.6996313,0.0,5.5,65.8
DNHW_99_wy,3.2634828,0.0,38.333332,65.8
NNHW_95_wy,2.928624,0.5,9.333333,65.8
LNHW_95_wy,7.903821,0.6666667,32.5,65.8
LNHW_97_5_wy,4.427284,0.0,24.833334,65.8
TNHW_97_5_wy,7.04263,-34.646,34.74883,65.8
TNHW_99_wy,8.039279,-33.441666,35.173466,67.3
NNHW_97_5_wy,1.6270489,0.0,7.8333335,65.8
TNHW_95_wy,5.994525,-35.840332,34.362816,65.8
DNHW_97_5_wy,8.400687,0.0,57.666668,65.8
NDCW_5_wy,2.0782804,0.0,5.6666665,65.8
TDCW_1_wy,-27.588795,-75.86752,28.39225,73.0
TDCW_2_5_wy,-23.596025,-73.74405,29.00245,66.8
LDCW_2_5_wy,2.7650914,0.0,17.0,65.8
TDCW_5_wy,-20.983519,-71.78861,29.631235,66.0
DDCW_1_wy,1.3129212,0.0,19.5,65.8
LDCW_1_wy,1.0419977,0.0,7.1666665,65.8
DDCW_5_wy,10.3610525,0.0,41.166668,65.8
NDCW_2_5_wy,0.9397017,0.0,4.0,65.8
LDCW_5_wy,5.230434,0.0,23.333334,65.8
NDCW_1_wy,0.3198257,0.0,3.1666667,65.8
DDCW_2_5_wy,4.239987,0.0,29.666666,65.8
TNCW_5_wy,-27.357138,-75.951614,23.527966,65.8
TNCW_1_wy,-31.570604,-79.61687,23.200935,72.3
LNCW_5_wy,5.071208,0.0,15.666667,65.8
LNCW_1_wy,1.0322106,0.0,5.3333335,65.8
LNCW_2_5_wy,2.7537456,0.0,12.0,65.8
NNCW_5_wy,2.1542485,0.0,4.6666665,65.8
DNCW_1_wy,1.3329479,0.0,12.333333,65.8
DNCW_2_5_wy,4.346389,0.0,22.833334,65.8
NNCW_1_wy,0.3330484,0.0,1.8333334,65.8
NNCW_2_5_wy,0.98660964,0.0,3.1666667,65.8
TNCW_2_5_wy,-29.366127,-77.65441,23.401571,66.2
DNCW_5_wy,10.403201,0.0,40.5,65.8
WSD_90_wy,25.142868,0.0,98.0,65.8
WSD_97_5_wy,4.2171946,0.0,55.0,65.8
WSD_95_wy,10.208698,0.0,73.333336,65.8
CSD_2_5_wy,1.4849337,0.0,18.0,65.8
CSD_5_wy,4.513608,0.0,33.666668,65.8
CSD_10_wy,13.941795,0.0,55.833332,65.8
spi_3_sev_n,2.115622,0.0,30.49026,65.8
spi_3_dur_n,1.1149322,0.0,7.0,65.8
spi_3_sev_s,1.0994959,0.0,28.593225,65.8
spi_3_dur_s,0.43207642,0.0,5.8333335,65.8
spi_3_sev_x,0.56270486,0.0,27.168686,65.8
spi_3_dur_x,0.16507459,0.0,4.8333335,65.8
spi_6_sev_n,2.5765555,0.0,28.867666,65.8
spi_6_dur_n,1.4058657,0.0,7.8333335,65.8
spi_6_sev_s,1.4954873,0.0,28.67039,65.8
spi_6_dur_s,0.6263449,0.0,6.5,65.8
spi_6_sev_x,0.8184439,0.0,26.502863,65.8
spi_6_dur_x,0.26961625,0.0,5.1666665,65.8
spi_12_sev_n,2.5473456,0.0,23.341906,65.8
spi_12_dur_n,1.486727,0.0,8.5,65.8
spi_12_sev_s,1.5193747,0.0,22.911005,65.8
spi_12_dur_s,0.6950394,0.0,6.0,65.8
spi_12_sev_x,0.80850184,0.0,22.338552,65.8
spi_12_dur_x,0.30160886,0.0,5.0,65.8
spei_3_sev_n,3.1257517,0.0,16.975058,65.8
spei_3_dur_n,1.8422658,0.0,7.3333335,65.8
spei_3_sev_s,1.4198687,0.0,13.675105,65.8
spei_3_dur_s,0.6666667,0.0,5.0,65.8
spei_3_sev_x,0.44493753,0.0,11.996498,65.8
spei_3_dur_x,0.16678397,0.0,3.8333333,65.8
spei_6_sev_n,3.8614638,0.0,17.825594,65.8
spei_6_dur_n,2.281716,0.0,8.333333,65.8
spei_6_sev_s,2.1070526,0.0,16.616743,65.8
spei_6_dur_s,1.0100385,0.0,6.1666665,65.8
spei_6_sev_x,0.7842784,0.0,13.324931,65.8
spei_6_dur_x,0.3033518,0.0,4.1666665,65.8
spei_12_sev_n,4.219061,0.0,19.723915,65.8
spei_12_dur_n,2.5389307,0.0,9.166667,65.8
spei_12_sev_s,2.5035126,0.0,17.605505,65.8
spei_12_dur_s,1.2292776,0.0,6.3333335,65.8
spei_12_sev_x,1.0369465,0.0,16.376432,65.8
spei_12_dur_x,0.41203287,0.0,5.5,65.8
TNm5,178.22351,0.0,365.5,65.8
TNm10,162.94075,0.0,365.5,65.8
TX30,48.250042,0.0,354.83334,65.8
CN5_0C_wy,11.930701,0.0,32.166668,65.8
CN2_5_0C_wy,5.7638345,0.0,19.166666,65.8
CD5_10C_wy,12.537875,0.0,31.166666,65.8
CD2_5_10C_wy,6.0798893,0.0,19.0,65.8
WN95_20C_wy,9.59819,0.0,94.166664,65.8
WN97_5_20C_wy,5.989794,0.0,72.833336,65.8
WD95_30C_wy,9.668292,0.0,105.333336,65.8
WD97_5_30C_wy,6.026831,0.0,78.5,65.8
NDHW97_5_30C_wy,0.68818504,0.0,6.3333335,65.8
LDHW97_5_30C_wy,1.9434055,0.0,30.333334,65.8
TDHW99_30C_wy,36.84863,30.146017,50.0959,85.4
TDHW97_5_30C_wy,36.191,30.146017,49.269215,84.8
NDHW99_30C_wy,0.35404727,0.0,5.6666665,65.8
LDHW99_30C_wy,1.0736551,0.0,20.166666,65.8
DDHW99_30C_wy,1.9547008,0.0,53.166668,65.8
DDHW97_5_30C_wy,3.9326963,0.0,64.666664,65.8
NNHW99_20C_wy,0.32652926,0.0,5.5,65.8
DNHW99_20C_wy,1.5754651,0.0,38.333332,65.8
DNHW97_5_20C_wy,3.4153845,0.0,57.666668,65.8
LNHW97_5_20C_wy,1.5885706,0.0,24.833334,65.8
TNHW97_5_20C_wy,24.783789,20.166779,34.74883,86.5
LNHW99_20C_wy,0.862477,0.0,12.833333,65.8
NNHW97_5_20C_wy,0.65857214,0.0,7.8333335,65.8
TNHW99_20C_wy,25.295313,20.166779,35.173466,87.0
NDCW2_5_10C_wy,0.7560248,0.0,2.8333333,65.8
LDCW1_10C_wy,0.8718451,0.0,5.6666665,65.8
TDCW2_5_10C_wy,-35.663807,-73.74405,9.6981,74.0
TDCW1_10C_wy,-37.79061,-75.86752,9.6981,77.9
LDCW2_5_10C_wy,2.2497234,0.0,8.666667,65.8
DDCW1_10C_wy,1.0881684,0.0,6.8333335,65.8
NDCW1_10C_wy,0.26277864,0.0,1.5,65.8
DDCW2_5_10C_wy,3.4368527,0.0,15.0,65.8
DNCW2_5_0C_wy,3.4657452,0.0,14.833333,65.8
LNCW2_5_0C_wy,2.204944,0.0,7.8333335,65.8
LNCW1_0C_wy,0.83913183,0.0,5.3333335,65.8
DNCW1_0C_wy,1.0812469,0.0,8.5,65.8
TNCW2_5_0C_wy,-41.018074,-77.65441,-0.29187012,73.8
NNCW1_0C_wy,0.26728672,0.0,1.8333334,65.8
NNCW2_5_0C_wy,0.7736718,0.0,3.1666667,65.8
TNCW1_0C_wy,-42.31401,-79.61687,-0.29187012,78.0
WSD95_20C_wy,5.8168597,0.0,73.333336,65.8
WSD90_20C_wy,12.510071,0.0,98.0,65.8
CSD10_10C_wy,12.290146,0.0,35.166668,65.8
CSD5_10C_wy,4.0673704,0.0,18.833334,65.8
